Status,Start Date,Product,Style,Batch Number,Turn Count,Original Gravity,Date,Created By,Task,Temperature,Gravity,pH,Yeast Attenuation,ABV,Actual ABV,Taste Aroma Notes,Batch Locations
Completed,06/03/2023,Le 3e souffle,NEIPA,	06032023.1,0,0.0000,,,,,,,,,,,
Completed,06/03/2023,Le 3e souffle,NEIPA,	06032023.2,0,0.0000,,,,,,,,,,,
Completed,16/05/2022,DIPA - Cabernet/Merlot - Brett,India Pale Ale,12072021,0,0.0000,,,,,,,,,,,
Completed,16/05/2022,DIPA - Cabernet/Merlot - Brett,India Pale Ale,12072021.1,0,0.0000,,,,,,,,,,,
In-Progress,16/05/2022,DIPA - Cabernet/Merlot - Brett,India Pale Ale,12072021.2,0,0.0000,,,,,,,,,,,CM3
In-Progress,16/05/2022,DIPA - Cabernet/Merlot - Brett,India Pale Ale,12072021.5,0,0.0000,,,,,,,,,,,CM5
Completed,14/09/2022,HUB | Saison houblonnee,Grisette / Saison,15.09.2022,0,0.0000,,,,,,,,,,,
In-Progress,16/05/2022,Gilberator - fût de chêne,Ambrée / Brune,1596.2,0,0.0000,,,,,,,,,,,GILB1
In-Progress,16/05/2022,Gilberator - fût de chêne,Ambrée / Brune,1596.2-1,0,0.0000,,,,,,,,,,,GILB2
In-Progress,16/05/2022,Gilberator - fût de chêne,Ambrée / Brune,1596.2-2,0,0.0000,,,,,,,,,,,GILB3
In-Progress,16/05/2022,Gilberator - fût de chêne,Ambrée / Brune,1596.2-3,0,0.0000,,,,,,,,,,,GILB4
Completed,16/08/2022,Pareille | Choix du brasseur,Fruit beer,16.08.2022.AC,0,0.0000,,,,,,,,,,,
Completed,16/08/2022,Pas pareille | Choix du brasseur,Fruit beer,16.08.2022.FR,0,0.0000,,,,,,,,,,,
Completed,16/05/2022,Folle Mesure,NEIPA,1664,0,0.0000,,,,,,,,,,,
Completed,16/05/2022,Presta,NEIPA,1667,0,0.0000,,,,,,,,,,,
Completed,16/05/2022,IPA Test #96 | Citra Spectrum Citra Lupomax Citra,NEIPA,1668,0,0.0000,,,,,,,,,,,
Completed,16/05/2022,Garnotte,NEIPA,1669,0,0.0000,,,,,,,,,,,
Completed,16/05/2022,Notre Folie,NEIPA,1670,0,0.0000,,,,,,,,,,,
Completed,16/05/2022,Inspiration,India Pale Ale,1671,0,0.0000,,,,,,,,,,,
Completed,16/05/2022,Presta,NEIPA,1672,0,0.0000,,,,,,,,,,,
Completed,16/05/2022,Discipline,Sans Alcool,1673,0,0.0000,,,,,,,,,,,
Completed,16/05/2022,Bipap,NEIPA,1674,0,0.0000,,,,,,,,,,,
Completed,25/05/2022,Double IPA Test #2 | Choix du brasseur,NEIPA,1674.2,0,0.0000,,,,,,,,,,,
Completed,16/05/2022,Tcheque mon bike,Lager,1675,0,2.5000,10/06/2022 ,Simon Lalonde,Fermentation Log,2.50,2.50,0.00,0.00%,0.00%,0.053,"OK: Pointe de souffre agréable. Malté   végétal, belle combinaison",
Completed,16/05/2022,Trip d'Automne,Belge,1676,0,15.5000,16/05/2022 ,Brasserie Brasserie,Fermentation Log / Mon May 16,0.00,15.50,5.21,0.00%,0.00%,0.00,,
